Customer_ID,Age,Gender,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Promotion_Response,Churned
47,57,Male,157.99,4553.63,9,38,7,1,3,182,TRUE,Responded,TRUE
48,59,Female,143.96,2348.58,14,49,0,1,5,42,FALSE,Unsubscribed,FALSE
49,53,Male,147.44,2987.49,1,40,2,2,1,138,FALSE,Responded,FALSE
50,29,Female,71.69,2806.16,16,44,5,3,2,284,FALSE,Unsubscribed,TRUE
51,64,Male,118.69,3867.77,18,49,4,3,3,104,TRUE,Unsubscribed,TRUE
52,36,Female,117.8,4837.9,13,1,5,0,1,162,TRUE,Ignored,FALSE
53,45,Male,153.13,5793.6,17,10,6,0,4,85,TRUE,Responded,FALSE
54,53,Female,162.79,3598.89,1,54,7,2,3,87,FALSE,Unsubscribed,TRUE
55,30,Female,138.79,2702.62,15,5,7,3,2,8,TRUE,Unsubscribed,TRUE
56,60,Male,124.44,3675.02,5,29,4,1,5,112,FALSE,Unsubscribed,TRUE
57,38,Female,159.48,1097.96,19,36,8,4,1,227,TRUE,Ignored,TRUE
58,22,Female,156.13,3782.15,11,32,3,3,2,269,TRUE,Unsubscribed,FALSE
59,65,Male,35.08,9450.29,2,90,1,3,4,276,TRUE,Responded,FALSE
60,54,Female,69.37,7794.21,19,14,2,1,1,335,TRUE,Unsubscribed,FALSE
61,58,Female,146.33,1319.48,4,34,4,4,3,325,FALSE,Responded,TRUE
62,32,Female,25.43,4698.45,17,18,6,0,2,207,FALSE,Ignored,TRUE
63,33,Female,177.2,1270.54,6,66,9,4,3,223,FALSE,Responded,FALSE
64,38,Male,100.01,2412.82,4,90,9,2,1,278,TRUE,Responded,FALSE
65,53,Female,110.43,1504.49,16,48,9,4,5,209,FALSE,Ignored,TRUE
66,41,Male,117.21,3681.83,14,87,2,3,2,147,FALSE,Ignored,FALSE
67,33,Male,136.2,3878.23,9,43,5,1,3,353,TRUE,Responded,TRUE
68,66,Female,77.31,4777.05,9,68,5,1,4,95,FALSE,Ignored,TRUE
69,23,Male,120.1,8174.61,19,47,4,1,5,173,FALSE,Unsubscribed,TRUE
70,59,Female,77.25,7528.4,6,30,8,2,2,162,FALSE,Ignored,TRUE
71,53,Female,192.45,2949.55,7,69,2,4,4,144,TRUE,Unsubscribed,FALSE
72,18,Female,193.83,5000.22,6,85,9,1,5,255,FALSE,Ignored,FALSE
73,49,Female,131.62,1943.49,12,31,5,4,3,195,TRUE,Responded,TRUE
74,48,Female,197.37,4414.83,13,80,9,4,2,145,FALSE,Responded,FALSE
75,18,Male,179.71,7412.06,5,34,4,4,4,78,TRUE,Responded,FALSE
76,67,Female,157.71,5313.18,4,5,3,1,2,150,FALSE,Responded,FALSE
77,54,Male,85.8,8326,18,38,2,2,2,82,TRUE,Ignored,TRUE
78,52,Female,41.3,330.04,7,40,6,4,2,362,TRUE,Ignored,FALSE
79,31,Female,181.75,2127.34,10,6,5,0,1,121,FALSE,Responded,FALSE
80,66,Female,116.69,631.26,9,99,1,1,4,216,TRUE,Ignored,FALSE
81,39,Male,141.26,7748.78,11,59,9,0,1,21,FALSE,Ignored,FALSE
82,28,Female,66.73,4128.77,7,26,3,0,2,359,TRUE,Ignored,FALSE
83,68,Female,30.81,540.65,8,85,5,3,5,50,FALSE,Unsubscribed,FALSE
84,61,Female,57.77,2553.6,19,94,6,4,5,326,FALSE,Unsubscribed,FALSE
85,41,Female,43.82,2009.52,16,66,5,2,2,337,TRUE,Unsubscribed,FALSE
86,52,Male,143.38,3457.27,12,45,1,1,3,179,FALSE,Unsubscribed,TRUE
87,53,Male,28.91,2846.44,12,5,0,2,1,208,TRUE,Ignored,TRUE
88,48,Male,38.33,9626.57,13,71,7,2,5,296,FALSE,Responded,FALSE
89,21,Male,44.15,3588.83,1,18,3,0,3,274,FALSE,Responded,TRUE
90,36,Female,76.98,8952.31,6,94,3,3,4,352,TRUE,Unsubscribed,TRUE
91,53,Female,65.91,7661.09,14,57,4,3,4,30,FALSE,Unsubscribed,TRUE
92,38,Female,155.1,707.32,6,2,8,2,5,140,FALSE,Responded,FALSE
93,32,Female,91.39,9509.81,4,50,7,0,2,254,FALSE,Unsubscribed,FALSE
94,59,Male,39.2,447.56,10,25,5,2,3,236,FALSE,Unsubscribed,TRUE
95,19,Female,93.58,9345.08,6,70,0,0,2,49,FALSE,Responded,TRUE
96,54,Female,73.3,7761.15,2,22,4,2,5,120,FALSE,Responded,FALSE
97,40,Female,138.27,9097.88,1,73,8,1,4,52,TRUE,Ignored,FALSE
98,61,Male,102.99,3032.95,16,34,5,3,5,4,FALSE,Ignored,FALSE
99,58,Male,188.33,4152.02,11,70,6,3,1,338,TRUE,Responded,TRUE
100,29,Female,179.26,1057.44,13,97,5,1,4,319,TRUE,Unsubscribed,TRUE
101,69,Female,108.14,393.05,4,44,0,4,5,82,TRUE,Unsubscribed,TRUE
102,34,Male,43.7,4900.56,11,7,0,2,3,227,TRUE,Ignored,TRUE
103,50,Male,91.46,6863.6,10,15,7,4,3,196,FALSE,Responded,FALSE
104,18,Female,146.79,8230.25,6,38,7,2,5,50,TRUE,Ignored,FALSE
105,56,Male,71.28,1584.42,14,93,8,3,3,114,FALSE,Ignored,FALSE
106,37,Female,38.72,7565.49,9,81,2,4,3,148,TRUE,Ignored,TRUE
107,64,Male,183.42,7218.86,18,54,1,2,5,303,FALSE,Unsubscribed,TRUE
108,69,Male,130.75,5887.98,4,83,6,3,1,296,FALSE,Unsubscribed,FALSE
109,58,Female,162.65,1003.58,1,94,0,1,2,331,TRUE,Ignored,TRUE
110,31,Female,170.42,6044.66,15,4,0,1,1,126,FALSE,Ignored,TRUE
111,42,Male,178.61,8689.05,7,42,5,0,4,201,TRUE,Unsubscribed,FALSE
112,20,Female,184.96,3199.68,16,40,5,0,3,127,TRUE,Ignored,TRUE
113,21,Male,68.88,5808.29,6,97,7,3,4,99,FALSE,Responded,TRUE
114,52,Female,114.79,8774.99,8,29,0,4,5,214,TRUE,Ignored,FALSE
115,31,Female,188.78,880.14,18,96,5,4,5,6,FALSE,Responded,FALSE
116,66,Male,74.93,7511.69,1,99,1,2,5,69,TRUE,Responded,FALSE
117,58,Female,197.02,4187.68,16,63,5,3,5,37,FALSE,Responded,FALSE
118,37,Female,102.57,361.25,12,68,5,4,3,40,FALSE,Responded,FALSE
119,26,Female,158.43,8788.42,12,19,7,3,5,86,TRUE,Ignored,TRUE
120,20,Male,77.57,268.6,8,62,7,4,3,165,TRUE,Responded,TRUE
121,21,Female,55.36,3841.97,4,35,2,0,5,175,TRUE,Unsubscribed,FALSE
122,62,Male,140.87,9790.09,6,99,0,1,2,205,FALSE,Responded,TRUE
123,32,Female,171.74,6845.17,18,84,3,0,4,206,TRUE,Ignored,TRUE
124,50,Female,22.93,1693.78,1,69,8,1,5,196,FALSE,Responded,TRUE
125,22,Male,135.7,4659.91,12,76,2,2,4,174,TRUE,Responded,FALSE
126,63,Male,181.66,5393.61,19,4,0,0,1,106,FALSE,Responded,FALSE
127,29,Male,77.87,343.68,15,35,3,3,5,185,TRUE,Responded,FALSE
128,40,Female,105.35,6235.74,19,84,0,3,2,287,TRUE,Unsubscribed,TRUE
129,29,Male,148.32,4088.79,5,79,7,1,4,324,TRUE,Responded,FALSE
130,34,Male,169.49,5629.38,12,36,1,0,5,283,TRUE,Unsubscribed,FALSE
131,47,Male,72.45,5634.56,1,82,5,0,3,204,FALSE,Unsubscribed,FALSE
132,39,Female,26.85,5160.91,12,88,7,0,1,122,FALSE,Unsubscribed,FALSE
133,64,Female,192.18,7959.69,19,82,0,4,2,148,FALSE,Responded,FALSE
134,43,Male,140.09,4293.14,9,97,3,4,1,342,TRUE,Unsubscribed,FALSE
135,34,Female,193.56,5579.16,3,50,3,3,4,101,FALSE,Unsubscribed,FALSE
136,51,Male,164.37,8981.74,7,67,0,3,1,234,TRUE,Responded,FALSE
137,58,Female,87.39,3862.34,15,23,1,3,1,242,FALSE,Responded,TRUE
138,50,Male,83.69,6056.17,12,69,7,1,3,237,TRUE,Ignored,FALSE
139,24,Female,138.42,528.38,14,43,8,3,3,110,FALSE,Ignored,FALSE
140,49,Male,182.07,3836.56,2,60,2,0,3,338,FALSE,Unsubscribed,TRUE
141,31,Male,196.99,6735.37,11,61,6,2,1,14,TRUE,Ignored,FALSE
142,25,Female,25.48,4769.47,14,82,1,2,4,191,FALSE,Responded,FALSE
143,33,Male,40.2,7270.88,1,96,4,3,2,119,TRUE,Unsubscribed,FALSE
144,58,Female,100.42,8528.1,4,26,8,1,3,341,TRUE,Ignored,FALSE
145,29,Male,59.93,7606.02,1,29,9,1,3,268,FALSE,Ignored,FALSE
146,56,Male,108.91,6374.87,9,83,1,1,4,136,TRUE,Ignored,TRUE
147,65,Female,187.33,9555.75,4,96,3,4,2,157,FALSE,Responded,TRUE
148,19,Male,163.65,1627.35,2,11,3,2,2,358,FALSE,Ignored,TRUE
149,49,Male,119.18,3190,7,14,8,3,2,348,TRUE,Unsubscribed,TRUE
150,62,Female,196.48,2653.79,15,78,8,3,3,150,FALSE,Unsubscribed,TRUE
151,36,Male,92.86,2242.15,16,4,7,4,4,74,FALSE,Unsubscribed,FALSE
152,65,Male,128.23,8631.89,7,13,1,3,4,252,TRUE,Unsubscribed,TRUE
153,21,Female,158.95,9570.06,12,9,3,1,1,130,FALSE,Ignored,FALSE
154,60,Male,94.36,5362.9,3,11,0,4,3,349,FALSE,Responded,FALSE
155,30,Female,147.81,6528.79,4,7,0,0,3,121,TRUE,Ignored,FALSE
156,56,Female,162.18,5056.85,18,53,3,3,3,232,FALSE,Ignored,FALSE
157,40,Female,196.27,2932.86,1,44,3,4,4,221,FALSE,Ignored,TRUE
158,61,Male,120.07,9029.04,15,14,9,0,1,10,FALSE,Responded,TRUE
159,50,Male,153.49,8598.14,4,72,6,4,5,164,TRUE,Ignored,TRUE
160,29,Female,158.7,4670.23,18,46,6,1,5,7,FALSE,Responded,FALSE
161,58,Female,183.48,3735.79,8,29,6,1,2,231,FALSE,Ignored,TRUE
162,38,Female,47.06,9396.88,15,83,1,1,1,82,FALSE,Unsubscribed,TRUE
163,28,Female,120.49,2301.5,12,30,1,4,3,86,TRUE,Ignored,TRUE
164,61,Male,97.11,5580.07,14,62,8,1,2,126,FALSE,Ignored,FALSE
165,55,Female,186.17,639.53,1,27,7,4,3,204,TRUE,Responded,TRUE
166,65,Male,196.86,6079.87,19,16,6,4,3,264,TRUE,Ignored,FALSE
167,20,Female,33.29,5851.86,10,66,3,0,4,298,TRUE,Ignored,FALSE
168,45,Male,108.37,8709.05,6,52,3,1,2,320,TRUE,Unsubscribed,TRUE
169,43,Male,152.87,7662.23,18,19,2,0,1,203,TRUE,Responded,TRUE
170,69,Male,163.98,8355.95,4,49,1,2,2,294,FALSE,Ignored,FALSE
171,21,Male,44.92,1862.85,9,76,3,4,3,314,FALSE,Unsubscribed,FALSE
172,27,Female,73.68,6192.69,7,1,4,2,3,44,TRUE,Unsubscribed,TRUE
173,59,Female,125.53,5116.22,10,23,9,2,3,89,TRUE,Responded,TRUE
174,41,Male,82.76,1239.86,7,70,3,1,3,133,FALSE,Unsubscribed,TRUE
175,64,Male,164.88,3596.82,5,71,1,0,4,218,FALSE,Responded,TRUE
176,44,Female,199.7,9832.36,8,87,2,1,5,125,FALSE,Responded,FALSE
177,68,Female,172.52,8849.87,16,88,3,3,1,310,FALSE,Responded,TRUE
178,62,Male,94.6,8549.15,4,66,9,2,4,176,FALSE,Responded,FALSE
179,49,Male,171.32,7595.58,9,56,6,1,1,90,FALSE,Ignored,FALSE
180,27,Female,30.76,9864.66,19,27,5,3,1,28,FALSE,Ignored,TRUE
181,28,Female,83.05,5310.58,15,32,7,4,3,131,FALSE,Unsubscribed,TRUE
182,63,Female,192.94,245.19,3,62,7,2,4,364,FALSE,Ignored,TRUE
183,51,Female,112.61,3218.74,14,58,3,1,1,57,TRUE,Ignored,TRUE
184,62,Male,118.44,5056.7,2,56,8,3,2,311,TRUE,Ignored,FALSE
185,52,Male,81.22,813.59,14,18,1,0,5,61,FALSE,Responded,TRUE
186,52,Female,32.35,987.46,11,55,7,4,2,314,FALSE,Responded,TRUE
187,42,Male,61.2,4269,14,1,2,2,5,22,FALSE,Ignored,TRUE
188,51,Male,84.44,2686.07,7,12,2,2,3,130,FALSE,Responded,FALSE
189,23,Female,98.33,4119.77,19,37,7,0,4,62,FALSE,Unsubscribed,TRUE
190,58,Male,126.37,4598.42,8,78,8,4,4,5,TRUE,Ignored,TRUE
191,54,Female,150.03,9765.11,14,9,0,4,5,274,TRUE,Ignored,TRUE
192,52,Male,23.54,8837.6,4,90,6,2,2,173,TRUE,Unsubscribed,FALSE
193,23,Female,27.36,894.05,6,10,6,2,4,307,TRUE,Ignored,FALSE
194,26,Female,153.24,1722.71,2,5,4,1,2,81,FALSE,Unsubscribed,TRUE
195,19,Female,133.1,3722.33,19,60,9,3,3,128,TRUE,Ignored,TRUE
196,35,Female,158.56,7459.07,1,40,4,0,4,346,TRUE,Unsubscribed,FALSE
197,66,Male,158.41,4302.6,13,81,3,0,1,92,TRUE,Ignored,TRUE
198,45,Male,149.66,7216.28,3,79,7,2,3,25,FALSE,Ignored,FALSE
199,58,Female,196.22,9434.11,19,88,9,1,5,258,FALSE,Responded,TRUE
200,66,Male,125.61,8041.26,4,49,8,2,5,267,TRUE,Responded,TRUE
201,21,Male,26.17,3522.88,9,4,1,3,1,330,TRUE,Unsubscribed,FALSE
202,57,Female,199.73,4065.05,4,11,2,1,5,130,TRUE,Responded,FALSE
203,68,Female,153.26,1122.21,13,22,3,4,4,42,TRUE,Unsubscribed,FALSE
204,48,Female,167.78,5239.08,18,42,1,3,3,107,TRUE,Ignored,TRUE
205,51,Male,37.78,712.26,1,98,8,3,2,193,FALSE,Ignored,FALSE
206,36,Male,154.75,4551.97,14,52,5,2,2,350,FALSE,Responded,TRUE
207,35,Female,101.48,2918.47,7,77,9,4,1,67,FALSE,Unsubscribed,FALSE
208,47,Male,148.47,1633.21,5,64,3,4,5,70,FALSE,Unsubscribed,TRUE
209,55,Female,94.09,6364.38,15,95,4,4,2,133,FALSE,Ignored,TRUE
210,30,Male,74.95,7946.3,19,52,5,1,3,7,TRUE,Responded,FALSE
211,62,Male,189.75,7755.99,15,93,5,3,3,109,TRUE,Ignored,TRUE
212,20,Male,198.32,1013.57,19,42,2,3,5,152,TRUE,Ignored,FALSE
213,65,Male,55.8,6886.58,10,18,3,2,2,86,FALSE,Unsubscribed,TRUE
214,45,Male,138.23,7188.64,3,15,8,2,5,261,TRUE,Responded,TRUE
215,39,Male,39.17,8635.45,11,60,5,0,3,56,TRUE,Responded,TRUE
216,57,Male,137.16,5129.64,18,61,9,2,2,105,FALSE,Unsubscribed,FALSE
217,57,Female,168.92,4664.83,2,14,3,0,5,258,TRUE,Responded,TRUE
218,29,Male,143.21,9654.65,18,98,4,2,5,206,FALSE,Unsubscribed,FALSE
219,40,Male,95.12,7985.47,15,23,9,3,4,172,FALSE,Responded,TRUE
220,48,Male,88.95,5631.44,16,62,6,3,1,42,TRUE,Responded,TRUE
221,35,Female,90.76,3373.11,19,89,2,1,3,351,TRUE,Responded,FALSE
222,24,Male,126.15,8467.86,19,31,8,3,3,105,TRUE,Unsubscribed,TRUE
223,25,Female,178.68,4608.82,12,11,5,3,5,78,TRUE,Unsubscribed,TRUE
224,36,Female,187.23,1017.58,6,4,5,0,3,348,FALSE,Unsubscribed,FALSE
225,46,Female,29.64,4603.55,12,32,8,1,3,40,TRUE,Ignored,FALSE
226,37,Male,40.2,4537.99,10,14,9,3,4,297,TRUE,Ignored,TRUE
227,59,Male,82.39,6153.7,16,40,7,3,2,131,FALSE,Responded,TRUE
228,47,Female,111.18,9958.72,13,1,1,4,3,107,TRUE,Unsubscribed,TRUE
229,64,Female,133.3,8190.76,13,25,9,2,3,196,FALSE,Responded,TRUE
230,39,Male,151.79,6210.66,14,85,6,2,3,253,FALSE,Ignored,FALSE
231,27,Male,180.22,9152.55,6,44,8,3,2,126,TRUE,Unsubscribed,TRUE
232,43,Female,198.04,8154.46,19,91,7,1,2,43,FALSE,Responded,FALSE
233,68,Male,139.31,5036.53,10,92,8,3,4,217,FALSE,Responded,TRUE
234,50,Male,172.17,5953.08,9,88,5,2,5,125,FALSE,Responded,FALSE
235,27,Female,75.36,8479.62,9,74,0,4,3,4,FALSE,Unsubscribed,TRUE
236,61,Female,27.7,7770.56,1,91,8,3,1,342,TRUE,Unsubscribed,FALSE
237,59,Male,69.27,6641.91,19,32,2,2,2,102,TRUE,Unsubscribed,TRUE
238,18,Male,103.18,7669.87,16,41,5,4,1,188,TRUE,Unsubscribed,FALSE
239,40,Female,134.91,5441.07,13,96,7,4,4,280,TRUE,Ignored,TRUE
240,34,Female,38.32,1669.3,18,9,7,2,2,335,TRUE,Ignored,FALSE
241,60,Female,141.14,4154.32,10,50,6,4,1,82,FALSE,Unsubscribed,FALSE
242,48,Female,53.36,6924.08,3,82,3,3,1,355,TRUE,Unsubscribed,TRUE
243,42,Male,94.72,9541.69,1,95,2,0,4,15,TRUE,Ignored,TRUE
244,21,Female,113.6,7973,10,2,9,2,1,133,TRUE,Unsubscribed,FALSE
245,69,Male,101.33,3958.89,7,59,4,1,5,121,TRUE,Unsubscribed,TRUE
246,45,Male,192.89,3111.59,7,81,9,4,5,93,TRUE,Unsubscribed,TRUE
247,47,Male,163.81,5456.35,2,85,1,2,2,182,TRUE,Responded,TRUE
248,41,Male,164.89,7409.42,6,37,1,1,4,338,FALSE,Ignored,FALSE
249,25,Male,55.55,780.9,6,14,0,0,2,150,FALSE,Ignored,FALSE
250,31,Female,140.9,9970.76,2,81,3,3,1,15,FALSE,Ignored,FALSE
251,35,Male,104.66,2283.01,4,51,0,0,5,353,TRUE,Ignored,FALSE
252,18,Male,192.75,3194.37,14,12,8,3,1,236,FALSE,Unsubscribed,TRUE
253,29,Female,63.25,2163.3,3,47,2,4,2,25,TRUE,Responded,TRUE
254,46,Female,157.37,9288.21,16,3,8,3,1,353,TRUE,Responded,FALSE
255,54,Female,176.63,6554.93,12,34,8,4,2,256,TRUE,Responded,TRUE
256,43,Female,121.17,5093.42,2,93,5,2,4,255,TRUE,Unsubscribed,FALSE
257,60,Male,127.31,3246.94,10,42,2,2,1,257,FALSE,Ignored,FALSE
258,32,Male,97.19,6180.33,12,2,6,3,4,81,TRUE,Unsubscribed,TRUE
259,40,Female,119.93,4254.04,17,27,0,2,4,291,FALSE,Unsubscribed,FALSE
260,36,Female,145.16,3801.02,5,28,5,1,4,122,TRUE,Ignored,TRUE
261,22,Female,36.71,7872.16,12,23,7,0,1,73,FALSE,Ignored,FALSE
262,40,Female,49.98,4212.41,4,90,6,0,3,94,FALSE,Unsubscribed,FALSE
263,53,Female,173.22,5131.89,13,89,8,2,1,28,FALSE,Unsubscribed,TRUE
264,25,Male,70.66,4533.99,1,37,0,1,4,182,TRUE,Responded,TRUE
265,31,Male,186.68,7950.98,11,31,8,1,4,182,FALSE,Ignored,TRUE
266,23,Male,167.25,8281.66,4,13,4,2,1,53,FALSE,Ignored,TRUE
267,18,Male,130.58,9543.81,12,53,4,4,2,150,FALSE,Unsubscribed,FALSE
268,33,Female,27.97,5842.79,6,93,4,0,5,173,FALSE,Unsubscribed,FALSE
269,33,Female,97.63,6966.56,2,69,1,3,2,300,TRUE,Responded,TRUE
270,57,Male,173.48,2954.65,17,45,3,0,4,29,FALSE,Responded,TRUE
271,63,Male,63.95,9188.24,4,25,8,4,4,133,TRUE,Responded,TRUE
272,28,Female,53.97,2113.23,5,31,1,2,1,282,TRUE,Unsubscribed,TRUE
273,64,Female,164.54,5743.46,9,33,1,0,3,25,FALSE,Ignored,TRUE
274,67,Female,158.14,7483.06,6,86,2,0,2,165,TRUE,Ignored,TRUE
275,69,Male,196.93,4400.38,1,58,7,0,3,299,TRUE,Unsubscribed,FALSE
276,53,Female,45.93,5796.43,4,85,9,3,1,16,FALSE,Unsubscribed,TRUE
277,59,Male,181.94,4724.37,9,82,5,0,1,41,FALSE,Unsubscribed,FALSE
278,36,Female,40.96,7555.12,14,18,6,0,4,360,TRUE,Unsubscribed,TRUE
279,52,Male,49.37,158.79,1,76,0,4,4,1,TRUE,Unsubscribed,FALSE
280,61,Male,121.85,6130.72,9,59,5,2,2,49,TRUE,Unsubscribed,FALSE
281,63,Male,151.13,853.84,3,44,5,2,1,204,TRUE,Ignored,TRUE
282,24,Male,172.94,7410.18,8,98,5,0,3,236,TRUE,Responded,FALSE
283,60,Female,25.93,5923.2,17,74,6,0,2,195,TRUE,Ignored,TRUE
284,66,Female,75.84,9829.75,16,28,6,3,1,213,FALSE,Ignored,FALSE
285,48,Female,112.78,5044.67,18,88,1,1,5,154,TRUE,Unsubscribed,FALSE
286,34,Male,94.87,1449.29,1,64,2,0,4,293,FALSE,Ignored,FALSE
287,44,Female,61.63,6894.28,1,52,3,4,1,257,TRUE,Responded,TRUE
288,67,Female,190.18,5945.17,11,37,5,3,4,337,FALSE,Unsubscribed,TRUE
289,27,Female,83.7,9397.05,19,98,2,0,1,185,FALSE,Ignored,TRUE
290,62,Female,20.67,1378.65,2,12,9,1,3,24,TRUE,Responded,TRUE
291,31,Male,172.11,824.65,6,73,2,2,1,342,TRUE,Unsubscribed,FALSE
292,26,Female,179.23,6163.01,10,15,9,4,2,70,TRUE,Responded,TRUE
293,31,Female,57.16,2402.76,18,95,5,4,5,13,TRUE,Unsubscribed,TRUE
294,25,Male,163.55,4943.33,4,32,7,2,2,259,TRUE,Responded,FALSE
295,34,Male,165.45,4872.41,9,88,3,3,1,172,TRUE,Responded,FALSE
296,40,Male,186.86,4585.8,3,64,9,2,5,50,TRUE,Responded,FALSE
297,33,Female,40.8,8055.1,11,44,9,2,3,99,TRUE,Ignored,TRUE
298,43,Male,59.11,4769.76,7,22,0,1,3,64,FALSE,Ignored,TRUE
299,53,Male,55.28,1748.16,5,27,4,3,4,163,TRUE,Responded,FALSE
300,24,Female,71.54,5366.48,5,10,1,1,5,288,TRUE,Ignored,TRUE
301,35,Male,50.01,8258.64,13,2,0,3,5,56,TRUE,Unsubscribed,FALSE
302,20,Female,77.91,1929.27,18,2,9,3,3,313,FALSE,Unsubscribed,TRUE
303,68,Male,24.42,882.06,3,35,0,2,3,88,TRUE,Responded,TRUE
304,63,Male,89.9,9469.51,13,98,8,2,5,74,TRUE,Responded,TRUE
305,42,Female,108.84,3427.62,3,49,1,4,1,151,FALSE,Ignored,FALSE
306,54,Male,167.32,4382.71,10,7,9,0,1,304,FALSE,Unsubscribed,TRUE
307,62,Male,34.48,6632.06,4,6,6,1,1,306,TRUE,Responded,TRUE
308,41,Female,170.23,3132.06,14,71,8,4,1,354,FALSE,Responded,FALSE
309,48,Male,62.84,8376.57,6,39,9,3,1,120,FALSE,Unsubscribed,FALSE
310,43,Female,157.15,6497.19,19,6,6,2,3,239,TRUE,Unsubscribed,TRUE
311,51,Male,165.1,1693.01,11,31,7,1,2,349,FALSE,Unsubscribed,FALSE
312,55,Male,39.31,9054.4,13,60,0,0,4,62,FALSE,Ignored,TRUE
313,41,Male,21.63,2941.5,10,9,4,4,2,206,TRUE,Ignored,FALSE
314,45,Male,54.51,1877.05,17,64,3,4,3,154,FALSE,Ignored,FALSE
315,47,Male,68.69,9999.64,7,82,4,4,1,35,FALSE,Responded,FALSE
316,51,Male,130.91,3161,13,87,9,2,3,14,FALSE,Unsubscribed,FALSE
